Date,Open,High,Low,Close,Adj Close,Volume,%change
12/10/2021,295.339996,295.440002,292.350006,292.880005,289.631256,17974100,0.008261583
13/10/2021,294.910004,297.279999,293.48999,296.309998,293.023193,23416300,-0.001455922
14/10/2021,299.209991,303.269989,297.829987,302.75,299.391785,27262900,0.014580675
15/10/2021,302.339996,304.450012,300.519989,304.209991,300.835602,25384800,0.010460897
18/10/2021,303.570007,308.209991,302.690002,307.290009,303.881439,22729300,0.004068304
19/10/2021,308.350006,309.299988,307.220001,308.230011,304.811005,17682100,0.015745953
20/10/2021,309.209991,309.700012,306.109985,307.410004,304.000092,16537100,0.00278899
21/10/2021,307.170013,311.019989,306.359985,310.76001,307.312927,16918100,-0.006597387
22/10/2021,310.399994,311.089996,307.799988,309.160004,305.730682,17449300,0.010515288
25/10/2021,309.359985,309.399994,306.459991,308.130005,304.712128,17554500,-0.003350545
26/10/2021,311,312.399994,308.600006,310.109985,306.670135,28107300,0.005301316
27/10/2021,316,326.100006,316,323.170013,319.585266,52588700,0.01607717
28/10/2021,324.329987,324.869995,321.359985,324.350006,320.752167,26297900,0.026360718
29/10/2021,324.130005,332,323.899994,331.619995,327.941498,34766000,-0.0006166
01/11/2021,331.359985,331.48999,326.369995,329.369995,325.716492,27073200,0.022305803
02/11/2021,330.309998,333.450012,330,333.130005,329.434784,26487100,-0.00316872
03/11/2021,333.899994,334.899994,330.649994,334,330.295135,21500100,0.010868566
04/11/2021,332.890015,336.540009,329.51001,336.440002,332.708069,23992200,-0.003024795
05/11/2021,338.51001,338.790009,334.420013,336.059998,332.332275,22570100,0.016882438
08/11/2021,337.299988,337.649994,334.440002,336.98999,333.251953,20897000,-0.003574553
09/11/2021,337.109985,338.720001,334.529999,335.950012,332.223511,21307400,-0.000563306
10/11/2021,334.570007,334.630005,329.920013,330.799988,327.130585,25500900,-0.007534568
11/11/2021,331.25,333.769989,330.51001,332.429993,328.742554,16849800,-0.009923206
12/11/2021,333.920013,337.230011,333.790009,336.720001,332.984985,23831000,0.008060417
15/11/2021,337.540009,337.880005,334.029999,336.070007,332.342194,16723000,0.010840908
16/11/2021,335.679993,340.670013,335.51001,339.51001,335.744049,20886800,-0.005510505
17/11/2021,338.940002,342.190002,338,339.119995,335.971893,19053400,0.009711657
18/11/2021,338.179993,342.450012,337.119995,341.269989,338.101929,22463500,-0.002242311
19/11/2021,342.640015,345.100006,342.200012,343.109985,339.924805,21963400,0.013188308
22/11/2021,344.619995,349.670013,339.549988,339.829987,336.675323,31031100,0.005778601
23/11/2021,337.049988,339.450012,333.559998,337.679993,334.545258,30427600,-0.021966244
24/11/2021,336.279999,338.160004,333.910004,337.910004,334.773102,21661300,-0.002284495
26/11/2021,334.350006,337.929993,328.119995,329.679993,326.619507,24217200,-0.005739244
29/11/2021,334.940002,339.029999,334.73999,336.630005,333.505005,28563500,0.001764606
30/11/2021,335.320007,337.779999,328.98999,330.589996,327.521088,42885600,0.001134546
01/12/2021,335.130005,339.279999,329.390015,330.079987,327.015808,33337600,-0.000566629
02/12/2021,330.299988,333.48999,327.799988,329.48999,326.431274,30766000,-0.014412368
03/12/2021,331.98999,332.700012,318.029999,323.01001,320.011444,41779300,0.005116567
06/12/2021,323.950012,327.450012,319.230011,326.190002,323.161896,30032600,-0.024217531
07/12/2021,331.640015,335.799988,330.100006,334.920013,331.810883,31021900,0.02373824
08/12/2021,335.309998,335.5,330.799988,334.970001,331.860413,24761000,0.011066165
09/12/2021,334.410004,336.48999,332.119995,333.100006,330.007782,22214200,-0.002684066
10/12/2021,334.980011,343,334.790009,342.540009,339.360199,38095700,0.001704515
